Time (s),Voltage (V)
0.0010659999999999999,0.04
0.001068,0.04
0.00107,-0.06
0.001072,0.04
0.0010739999999999999,-0.06
0.001076,0.04
0.001078,-0.06
0.00108,0.04
0.0010819999999999998,-0.06
0.001084,-0.06
0.001086,0.04
0.001088,0.06
0.00109,-0.06
0.0010919999999999999,0.04
0.001094,-0.06
0.001096,0.04
0.001098,-0.06
0.0010999999999999998,-0.06
0.001102,0.04
0.001104,0.04
0.001106,-0.06
0.001108,-0.04
0.0011099999999999999,0.04
0.001112,0.06
0.001114,-0.06
0.001116,0.04
0.0011179999999999999,-0.06
0.00112,0.04
0.001122,-0.06
0.001124,0.06
0.001126,-0.06
0.0011279999999999999,0.04
0.00113,-0.06
0.001132,0.04
0.001134,-0.06
0.0011359999999999999,0.06
0.001138,-0.06
0.00114,0.04
0.001142,-0.06
0.001144,-0.04
0.0011459999999999999,0.04
0.001148,0.06
0.00115,-0.06
0.001152,-0.04
0.0011539999999999999,0.04
0.001156,0.06
0.001158,-0.06
0.00116,0.04
0.001162,-0.06
0.0011639999999999999,0.04
0.001166,-0.06
0.001168,0.06
0.00117,-0.06
0.0011719999999999999,-0.06
0.001174,0.04
0.001176,0.04
0.001178,-0.06
0.0011799999999999998,-0.06
0.0011819999999999999,0.06
0.001184,-0.06
0.001186,0.04
0.001188,-0.06
0.0011899999999999999,0.06
0.001192,0.04
0.001194,-0.06
0.001196,-0.06
0.0011979999999999998,1.46
0.0012,1.48
0.001202,2.8000000000000003
0.001204,2.74
0.001206,2.96
0.0012079999999999999,2.88
0.00121,2.98
0.001212,2.9
0.001214,3.0
0.0012159999999999999,2.9
0.001218,3.0
0.00122,2.9
0.001222,3.0
0.001224,3.0
0.0012259999999999999,2.9
0.001228,2.98
0.00123,2.9
0.001232,2.9
0.0012339999999999999,3.0
0.001236,2.9
0.001238,3.0
0.00124,3.0
0.001242,2.9
0.0012439999999999999,2.9
0.001246,3.0
0.001248,2.9
0.00125,3.0
0.0012519999999999999,2.9
0.001254,3.0
0.001256,3.0
0.001258,2.9
0.0012599999999999998,2.9
0.0012619999999999999,3.0
0.001264,3.0
0.001266,2.9
0.001268,2.9
0.0012699999999999999,3.0
0.001272,2.98
0.001274,2.9
0.001276,2.9
0.0012779999999999998,3.0
0.0012799999999999999,2.9
0.001282,3.0
0.001284,2.9
0.001286,3.0
0.0012879999999999999,3.0
0.00129,2.9
0.001292,2.9
0.001294,3.0
0.0012959999999999998,2.9
0.001298,3.0
0.0013,2.9
0.001302,3.0
0.001304,3.0
0.0013059999999999999,2.9
0.001308,3.0
0.00131,2.9
0.001312,2.9
0.0013139999999999998,3.0
0.001316,2.98
0.001318,2.9
0.00132,2.9
0.001322,3.0
0.0013239999999999999,2.9
0.001326,3.0
0.001328,2.9
0.00133,3.0
0.0013319999999999999,2.9
0.001334,2.98
0.001336,2.98
0.001338,2.88
0.00134,2.98
0.0013419999999999999,2.9
0.001344,2.9
0.001346,3.0
0.001348,2.9
0.0013499999999999999,3.0
0.001352,2.9
0.001354,3.0
0.001356,2.9
0.0013579999999999998,3.0
0.0013599999999999999,2.98
0.001362,2.9
0.001364,2.9
0.001366,3.0
0.0013679999999999999,2.98
0.00137,2.9
0.001372,2.9
0.001374,3.0
0.0013759999999999998,2.9
0.0013779999999999999,3.0
0.00138,2.9
0.001382,2.98
0.001384,2.9
0.0013859999999999999,3.0
0.001388,2.9
0.00139,3.0
0.001392,2.9
0.0013939999999999998,3.0
0.0013959999999999999,2.9
0.001398,3.0
0.0014,2.98
0.001402,2.9
0.0014039999999999999,2.9
0.001406,2.98
0.001408,2.9
0.00141,3.0
0.0014119999999999998,2.98
0.001414,2.9
0.001416,3.0
0.001418,2.9
0.00142,2.9
0.0014219999999999999,3.0
0.001424,2.9
0.001426,2.98
0.001428,2.9
0.0014299999999999998,3.0
0.001432,2.9
0.001434,2.98
0.001436,2.9
0.001438,3.0
0.0014399999999999999,2.9
0.001442,3.0
0.001444,2.9
0.001446,2.98
0.0014479999999999999,2.98
0.00145,2.9
0.001452,2.98
0.001454,2.9
0.0014559999999999998,2.9
0.0014579999999999999,3.0
0.00146,3.0
0.001462,2.9
0.001464,2.9
0.0014659999999999999,3.0
0.001468,2.9
0.00147,2.98
0.001472,2.88
0.0014739999999999998,3.0
0.0014759999999999999,2.9
0.001478,3.0
0.00148,3.0
0.001482,2.9
0.0014839999999999999,2.9
0.001486,3.0
0.001488,2.9
0.00149,3.0
0.0014919999999999998,2.98
0.0014939999999999999,2.9
0.001496,2.9
0.001498,3.0
0.0015,2.9
0.0015019999999999999,3.0
0.001504,3.0
0.001506,2.9
0.001508,2.9
0.0015099999999999998,3.0
0.0015119999999999999,2.98
0.001514,2.88
0.001516,2.9
0.001518,3.0
0.0015199999999999999,2.9
0.001522,3.0
0.001524,2.9
0.001526,2.98
0.0015279999999999998,2.9
0.00153,3.0
0.001532,2.98
0.001534,2.88
0.001536,2.98
0.0015379999999999999,2.88
0.00154,2.98
0.001542,2.88
0.001544,2.98
0.0015459999999999998,2.9
0.001548,2.9
0.00155,3.0
0.001552,2.9
0.0015539999999999998,3.0
0.0015559999999999999,2.9
0.001558,3.0
0.00156,2.98
0.001562,2.9
0.0015639999999999999,2.9
0.001566,3.0
0.001568,2.9
0.00157,3.0
0.0015719999999999998,2.9
0.0015739999999999999,3.0
0.001576,2.98
0.001578,2.88
0.00158,2.9
0.0015819999999999999,3.0
0.001584,2.9
0.001586,3.0
0.001588,2.9
0.0015899999999999998,3.0
0.0015919999999999999,3.0
0.001594,2.9
0.001596,2.9
0.001598,3.0
0.0015999999999999999,2.98
0.001602,2.9
0.001604,2.9
0.001606,3.0
0.0016079999999999998,2.9
0.0016099999999999999,3.0
0.001612,3.0
0.001614,2.9
0.001616,2.9
0.0016179999999999999,3.0
0.00162,2.9
0.001622,3.0
0.001624,2.98
